ma_nguoi_dung,ho_ten,email,sdt,ngay_sinh,gioi_tinh,cccd,vai_tro,trang_thai,created_at,ma_chi_nhanh,ma_hsdn
00000000-0000-0000-0000-000000000041,Bui Duc Long,owner.travel@ec.local,0900000041,1986-11-30,Nam,079086000041,Nguoi dai dien,Dang hoat dong,2025-11-20 09:34:18.18177+00,,20000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000042,Do Minh Trang,manager.travel@ec.local,0900000042,1993-12-09,Nu,079093000042,Nhan vien quan ly voucher,Tam khoa,2025-11-25 09:34:18.18177+00,,20000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000043,Ngo Hoai Phuong,staff.travel12@ec.local,0900000043,1997-03-26,Nu,079097000043,Nhan vien ban hang,Tam khoa,2025-12-20 09:34:18.18177+00,30000000-0000-0000-0000-000000000002,
00000000-0000-0000-0000-000000000101,Quan tri vien he thong,admin_ht@ec.com,0900000100,1995-01-15,Khac,079095000100,Admin he thong,Dang hoat dong,2026-08-19 13:29:47.092624+00,,
00000000-0000-0000-0000-000000000102,Quan tri vien kiem duyet,admin_kd@ec.com,0900000101,1994-03-20,Nu,079094000101,Admin kiem duyet,Dang hoat dong,2026-08-19 13:29:47.092624+00,,
00000000-0000-0000-0000-000000000103,Quan tri vien van hanh,admin_vh@ec.com,0900000102,1993-07-12,Nam,079093000102,Admin van hang,Dang hoat dong,2026-08-19 13:29:47.092624+00,,
0188041f-b8d9-4c4b-81cc-b1ee671a2cc2,Nguyễn Đức Linh,linh.nguyen3494@gmail.com,0973574387,1985-06-15,Nam,096670913298,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,32da8e0d-0142-41da-b6b7-172fa52dc131
039e3df2-56af-4d27-80eb-25a86fc1ff3d,Đào Hải Nam,nam.dao8599@gmail.com,0986756733,1990-06-15,Nam,068551685748,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,80c192ff-1806-4473-b7e9-b6f8baaf678b,195ea851-59dd-4e70-ad76-71d0ea76db64
044e134a-bcb6-4869-a509-60397737cd6e,Nguyễn Kim Ngân,nkngan23@clc.fitus.edu.vn,0399994949,1990-01-01,Nu,393949949494,Nguoi dai dien,Dang hoat dong,2026-08-25 13:17:06.077142+00,,2eb17ab4-16e6-4986-bd50-62f48e311f1c
04580114-760b-4f19-84e6-09ba51978ac1,Trần Văn Thảo,thao.tran4458@gmail.com,0964211205,1985-06-15,Nu,054551103913,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,340c7165-90d8-47a1-a7b9-26b7ba056d74
04cc6e06-cbc6-44f3-8648-4d1881c67d74,Phạm Đình Long,long.pham1099@gmail.com,0930444045,1991-11-04,Nam,085785965903,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,15ad6191-778f-4a62-95b2-97a5bdaf18f0
0703d371-4955-4044-975b-eb85e14d49cd,Nguyễn Thành Linh,linh.nguyen2073@gmail.com,0992709781,1985-06-15,Nu,076574766704,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,52e761b7-5bf4-4538-b8d4-aae58d15d545
075647fc-d04c-489e-8170-0c96c79a592a,Trần Phương Tuấn,tuan.tran9890@gmail.com,0913541119,1985-06-15,Nu,009651672004,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,0bb45dbd-d123-48e3-b019-bebbe4939c5d
07f4d1f0-fda1-4db3-b49f-e8569fb0be26,Bùi Quốc Dũng,dung.bui4292@gmail.com,0957156240,2000-07-12,Nam,006495124093,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,6b908e0b-4e9a-4a32-908d-f55fc24f1258,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
083ed0d7-6e91-4f7b-aaf6-6416d35c751c,Bùi Văn Dũng,dung.bui8924@gmail.com,0982296971,1985-06-15,Nu,068787124507,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,e8acc2e0-6d3e-4b9f-8e28-78e11edc73e7
08de529d-0b28-454f-ad6c-63bb21ec0f72,Hoàng Minh Bình,binh.hoang4440@gmail.com,0919157584,1985-06-15,Nam,011287064508,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,15ad6191-778f-4a62-95b2-97a5bdaf18f0
09eb0064-ca3d-4bc1-9b9d-ffc1104ade8a,Võ Cẩm Hà,ha.vo9008@gmail.com,0986960994,1992-03-08,Nu,044718722306,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,b45bd7b0-c853-42b4-8df6-678e74dcdabf
0b052e89-4234-4302-984f-5df317374e4b,Phạm Minh Thảo,thao.pham8641@gmail.com,0984329800,1985-06-15,Nam,065747616204,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,2a0f71ae-512d-492c-80c3-53d9180fe5af
0c4dac3f-667b-4fdd-8431-be073d14da64,Bùi Ngọc Mai,mai.bui1221@gmail.com,0946334361,1990-07-26,Nu,004498645402,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,935e330a-a7bd-4307-aec3-256f94832085,b45bd7b0-c853-42b4-8df6-678e74dcdabf
0c7bc252-164b-4ac8-bde4-dda9b5ffe2fd,Đặng Hữu Tùng,tung.dang1429@gmail.com,0952077754,1990-10-16,Nam,063597933866,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,038d3a15-f663-4a0f-95b6-18d2d8b67f99,195ea851-59dd-4e70-ad76-71d0ea76db64
0cda2788-378e-4b9d-ace6-32649d91daa9,Trần Hồng Yến,yen.tran6163@gmail.com,0965438817,1995-09-20,Nu,074921078561,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,5250a3e4-7bc7-46f0-bad9-690bc67ba654,b45bd7b0-c853-42b4-8df6-678e74dcdabf
0e0fb427-830b-4e50-bfbe-b40f9ef015b8,Bùi Minh Tuấn,tuan.bui6207@gmail.com,0914842196,1985-06-15,Nam,014619989303,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,c4b4baf9-845c-4c3d-94ad-b851a15b6984
1123deb0-3eea-4b50-bf2b-291b23a18b7c,Phạm Phương Linh,linh.pham5758@gmail.com,0942958619,1985-06-15,Nam,047842400868,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,7d113c07-2b54-4007-9045-86a460356306
11342e9d-d876-41ac-89cf-0e60c948538b,Đào Hồng Tâm,tam.dao6750@gmail.com,0998825660,1995-08-14,Nu,081929908884,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,7c61f905-597a-45d4-9e60-7ae0e1669e51,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
1379f322-faf1-4f07-9a0b-1facc14ecd40,Bùi Đức Hải,hai.bui2163@gmail.com,0980665964,1985-06-15,Nam,091477990343,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,c5dc445c-fea7-4a5e-823a-41665903d82b
1436e5f8-d8ba-4942-9597-0b9055d6a16e,Bùi Văn Dũng,dung.bui1678@gmail.com,0975325775,1985-06-15,Nam,049230453604,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,982c92d0-7f3f-4d5c-9af6-69ff021c5347
1503a61c-e6bf-4fcc-9ad5-419c7c7c62cb,Đinh Như Quyên,quyen.dinh4003@gmail.com,0974724009,1992-06-04,Nu,010598035441,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,0c18e4d3-575b-42d8-aa29-aa0588035623,15ad6191-778f-4a62-95b2-97a5bdaf18f0
154c37f2-0ccb-4a63-8b41-ac438ee4599e,Đặng Hồng Châu,chau.dang8628@gmail.com,0927645986,1994-05-15,Nu,004366327612,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,c57b538e-359a-4a01-a56c-da54a70db1d1
15672cd1-cbdf-4c11-927c-48ce902d8d1f,Phạm Thành Hải,hai.pham6832@gmail.com,0970863886,1985-06-15,Nam,078363994059,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,411cf37f-67d3-40a6-89e5-a6a4102e440b
17454351-028b-404e-81de-19bbdcb40136,Phạm Thị Mai,mai.pham4973@gmail.com,0972771886,2002-05-08,Nu,077587092682,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,50a22950-f1ae-4a59-963c-e87221c056ce,e8acc2e0-6d3e-4b9f-8e28-78e11edc73e7
1989865c-5bbd-4666-8493-e45962b59f93,Trần Kim Hân,tkhh@gmail.com,0229992191,2001-08-13,Nu,229219399392,Nhan vien quan ly voucher,Dang hoat dong,2026-08-26 08:59:24.747834+00,,f8d5b658-8608-425f-89c5-dcaeef0a647e
1a91f0e7-3158-4c99-8960-f7824809e56f,Đinh Phương Uyên,uyen.dinh7540@gmail.com,0945658568,2001-05-17,Nu,014374088180,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,c043a95b-f062-4ab3-8aea-f920d77b5586,e9359a63-2fa3-43b8-86e2-d3999ca004d2
1aeeef05-a630-483c-a65d-e5792626f7f1,Võ Ngọc Thảo,thao.vo3969@gmail.com,0971394580,1994-08-07,Nu,024970094083,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,e9785604-dd4f-4067-8d07-3396c5af9c34
1b27cbd8-6de1-42d7-a7d7-a775b8a617c3,Bùi Thanh Hà,ha.bui9045@gmail.com,0995602657,1996-02-27,Nu,038158263929,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,77bf47b1-ea7d-45a8-8011-2c15a52616bf,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
1c177143-3c36-480e-bb92-4fca370a0158,Nguyễn Kim Ngân,itnamemyidol@gmail.com,0399399292,1999-01-26,Nu,029939392933,Nguoi dai dien,Dang hoat dong,2026-08-26 07:11:46.594016+00,,e4147ade-8f13-4bcb-ab88-9a6a864cc632
1d33b93b-1bee-4800-87ac-3facf3cff399,Dương Ngọc Yến,yen.duong5888@gmail.com,0991927407,1998-04-14,Nu,037429896306,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,dae599ce-6e24-4c8b-88a8-e7e2cab68256,57300452-7745-419b-90f4-9e8d2a07bc3f
1d7d2ed6-dc7b-4511-a8f7-55ad7bfdba68,Đặng Thị Tuấn,tuan.dang2797@gmail.com,0908742522,1985-06-15,Nam,025315365532,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,1114dccd-810f-4887-a534-7c2316871312
1de738bf-67f9-47bd-8440-7b9ca88ff068,Đoàn Quang Long,long.doan7865@gmail.com,0972587535,2001-06-28,Nam,059966914876,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,8a5ba525-f70d-448e-b43e-cd2d06c19cc1,b45bd7b0-c853-42b4-8df6-678e74dcdabf
1faa762a-b9da-4f56-a578-7adf6e6242a4,Nguyễn Thị Vy,vy.nguyen9960@gmail.com,0990985382,1996-02-13,Nu,092979948787,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,57300452-7745-419b-90f4-9e8d2a07bc3f
203d61be-7294-4239-8eb3-b5b4d2e46bde,Hoàng Phương Thảo,thao.hoang2198@gmail.com,0970993749,1985-06-15,Nu,038569370307,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,a15af6ae-5802-4568-9e30-cf6e238bd336
21a2a85f-b77f-41c7-85c0-4d7654af06a8,Đặng Quang Nam,nam.dang9498@gmail.com,0933205315,1997-06-26,Nam,005114668869,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,7f57733d-1884-4193-953b-faa801da146c,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
24905f20-5f6e-4c4c-aba8-159372c9f96b,Đặng Văn Cường,cuong.dang8730@gmail.com,0915036620,1985-06-15,Nam,004989087881,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,99ccb042-3d52-4ada-bdff-aa6ee70ac1fb
25e6be1d-1f40-4234-b804-c561fbf89f2e,Lê Cẩm Trang,trang.le4264@gmail.com,0952902987,1998-09-22,Nu,043385916316,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,4ac4c2af-97b4-4e1a-8906-799dd168729c,4372b404-c218-4eb7-bcb6-c1089a94624b
2818fd27-ceb8-4e26-b633-8343984aa97b,Ngô Như Yến,yen.ngo1567@gmail.com,0915705005,1994-01-24,Nu,044656164936,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,9dc74bdf-32d2-48d8-a09b-44afb8606397,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
28374a5b-535f-4f7c-9cb6-e7e3f35d966c,Nguyễn Khánh Vy,vy.nguyen6450@gmail.com,0908925814,1999-05-01,Nu,034530838896,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,656e341e-280d-408b-b0c4-daddfad429e7,a15af6ae-5802-4568-9e30-cf6e238bd336
29396cc8-0478-43a6-b5fe-e0b9654187db,Nguyễn Phương Hải,hai.nguyen5027@gmail.com,0925215112,1985-06-15,Nam,030720427840,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,b96a40c9-5279-4b15-92cc-14433cb91784
2c71b180-681d-4c98-a8f1-41387b961a22,Phạm Phương Tâm,tam.pham2579@gmail.com,0998905642,2001-11-11,Nu,060507009850,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,ea438d89-21bf-4c6c-a3da-6edcd640a25a,5b61f219-490e-4265-b3d1-1ba7728af1ea
2da4e9f1-f605-4579-b301-f104543cc6cb,Trần Thành Linh,linh.tran4915@gmail.com,0989353159,1985-06-15,Nu,099896710507,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,0d4a8039-c78a-4982-bbbb-0ec73a2ac9bf
30fbd737-0901-49a1-bcfe-c5d3415d72de,Phạm Hồng Vy,vy.pham6223@gmail.com,0920098409,1999-12-03,Nu,000084017397,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,23fa6b3d-0b8c-4789-a3b2-6fea23706eb4,32da8e0d-0142-41da-b6b7-172fa52dc131
32702bb9-17c7-4fc9-9707-89e4a9d678ef,Lê Thành Bình,binh.le1722@gmail.com,0977927125,1985-06-15,Nu,086068761187,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,d69ba734-c3f9-4813-be9f-d1d83d7ec45c
3308bce1-dccd-40b4-96a5-980439989766,Lê Hữu Quân,quan.le1176@gmail.com,0965911686,1995-04-26,Nam,031798794731,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,833dabdd-a07c-40af-bfc0-919f903421ee,b45bd7b0-c853-42b4-8df6-678e74dcdabf
349c64d3-7658-4f1a-8b3b-f0356bb97863,Nguyễn Văn Hải,hai.nguyen8661@gmail.com,0937102436,1985-06-15,Nam,078118947213,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,b26f1740-b341-4ff2-8c94-2563aa8a66f7
3637fd1c-f2ab-462e-8d79-d66f935f96df,Đoàn Văn Long,long.doan2070@gmail.com,0961386223,1999-08-17,Nam,012977931230,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,b47cd926-b9d9-4747-91b7-18cc12d198e6,b45bd7b0-c853-42b4-8df6-678e74dcdabf
38d72583-ac1b-4843-8c83-243464186a4a,Bùi Văn Linh,linh.bui6559@gmail.com,0962359491,1985-06-15,Nam,010743665988,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,43e1659b-d0ed-44d2-9613-8349a474a02d
39420e53-bfda-43c1-8395-32f69f13cb7a,Đào Phương Yến,yen.dao1677@gmail.com,0967632157,1993-01-19,Nu,098489051787,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,3d90d84b-d204-4513-b8de-f5d33bb39b8e,7a296d86-e092-4453-b4bd-725b169aee4d
3a08991e-7528-4f25-aaff-eee2ed6805fb,Đặng Thành Hải,hai.dang4500@gmail.com,0955230882,1985-06-15,Nam,082602806854,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,da49801a-ad11-4e33-9dc1-9919589faf11
3be8187e-3185-4e63-996d-c79c6b4cc2f1,Bùi Thành Tuấn,tuan.bui6901@gmail.com,0956130254,1985-06-15,Nam,051985740000,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,2eba33b1-96cb-435c-8ed3-e7dd57282fca
3c6c0974-2f43-4f68-9454-9fdf902b0827,Nguyễn Thành Bình,binh.nguyen9943@gmail.com,0957768372,1985-06-15,Nam,009088113209,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,875e7575-54d1-47cf-a09b-dca98cddee33
3cc7e521-792b-45ef-b904-88893ce20ef3,Bùi Thành Cường,cuong.bui1498@gmail.com,0934830648,1985-06-15,Nu,025859485018,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,754a0d9a-76dc-44da-b228-811892f99e6d
3d6191ed-1014-4f0f-99d1-58fa2ab583e8,Võ Như Nhi,nhi.vo1084@gmail.com,0982658283,1994-06-06,Nu,069077815915,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 21:33:23+00,,0f44c4e9-2b55-4a43-88c8-e51bc848ab1a
405ac7c4-7800-4404-aef0-c606cef62610,Hoàng Đức Vĩnh,vinh.hoang8486@gmail.com,0954302328,1994-08-25,Nam,086490920585,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,88d9c6c7-5a90-4349-b6ce-7434fba39f54,b45bd7b0-c853-42b4-8df6-678e74dcdabf
43a2c02b-ac16-4232-96fe-17b57c778e90,Nguyễn Thị B,staff_btaskee@ec.com,0786857395,1990-03-06,Nu,473902478590,Nhan vien quan ly voucher,Dang hoat dong,2026-08-25 13:45:48.092137+00,,ab0eb565-e8ad-4b0e-b2f4-cba3521d0411
443dc692-79d9-441c-9439-40bdfefde659,Dương Văn Nam,nam.duong1528@gmail.com,0996195970,2002-03-27,Nam,079439086310,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,b06d0a13-2307-468f-85bd-cea2627dc564,e9785604-dd4f-4067-8d07-3396c5af9c34
4486be54-6325-4eba-99f5-ffc872ba1a0a,Bùi Đức An,an.bui6112@gmail.com,0927127949,1985-06-15,Nam,092953845552,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,6ad5c5e2-2b9a-4061-af7f-2f963a0f0af6
44e9e917-448b-4996-9e3b-f3ebbfdcfa0c,Trần Cẩm Anh,anh.tran4685@gmail.com,0906927993,1991-04-16,Nu,004407653139,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,54942b07-4261-4a98-8faa-493d3806019b,e8acc2e0-6d3e-4b9f-8e28-78e11edc73e7
46628948-30c9-47e2-9419-ba7d4dd5af78,Huỳnh Thị Uyên,uyen.huynh6221@gmail.com,0921180668,1997-06-22,Nu,030087768577,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,c8a89575-0f9c-487c-a580-b4851ba1ab0c,f7d08df4-04db-4d5a-859f-70ccf5e5e2dd
4843de3a-26b8-425d-92e8-6cbb2332b3ac,Vũ Minh Hải,hai.vu4679@gmail.com,0980873792,1985-06-15,Nam,028751716189,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,5936b685-2078-4e39-b00b-cc7eb8549454
48c201c6-69ef-4694-bf77-7f4901b091c4,Đặng Phương Tuấn,tuan.dang2485@gmail.com,0903708535,1985-06-15,Nam,044519579409,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,ab8170c4-b8ee-48e0-b4a3-18a802d354bb
4c1f963b-74b5-4981-9597-413df7dfec3b,Lê Tuấn Nam,nam.le2103@gmail.com,0900049437,1998-12-14,Nam,068158815989,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,22caa03e-7df4-4a60-a6c2-9db1a2d25a47,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
4f248181-3648-4d36-93f5-b81f2d8d7bcf,Lê Quang Bình,binh.le3652@gmail.com,0900258554,1985-06-15,Nam,016442740030,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,90743c6c-7cd9-46cb-8a42-b6411091e46e
513421ae-3f06-47f2-91e8-c6d1981c291e,Hoàng Thị Dũng,dung.hoang9313@gmail.com,0944026529,1985-06-15,Nu,083483147374,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,5f149f7c-2bc3-4730-bcdd-2eb755ee6513
513c5679-19cc-4b59-a145-6ed7827048f9,Bùi Như Mai,mai.bui9130@gmail.com,0986459930,1997-07-28,Nu,067610468484,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,c220ea31-ca4e-467a-9721-4d7655dabcf8,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
518d193c-057a-4f49-ab8f-c3bc39a93b17,Đào Hữu Cường,cuong.dao7404@gmail.com,0908447533,2002-05-17,Nam,099256403784,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,cd2c959c-72c2-4667-9436-646981ed6324,440cc5c3-dbe3-4d65-b735-10b04b2987c3
5293299c-2e9e-4ccb-8f67-7e8e970f5f41,Ngô Cẩm Linh,linh.ngo2436@gmail.com,0916895422,1991-07-07,Nu,026332264370,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,421b7b56-9b97-4aeb-af7b-3f2ab91b61e1,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
5367824f-e76f-421f-b9a6-c8b11ac21b04,Trần Văn Linh,linh.tran6571@gmail.com,0979505345,1985-06-15,Nam,049935296627,Nguoi dai dien,Dang hoat dong,2026-08-24 20:04:58+00,,e9785604-dd4f-4067-8d07-3396c5af9c34
53e09844-1d6e-472b-bd1d-1dd79b246a18,Trần Tuấn Khôi,khoi.tran1655@gmail.com,0967958443,1994-10-15,Nam,078778387446,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,543385d1-3599-4573-9f75-177ee3aed3b3,c4b32ba0-c514-4b61-8df1-f2afdf45b8db
544a6457-9c41-485b-a671-31a0fc4d2c6e,Trần Minh Dũng,dung.tran5373@gmail.com,0923527863,1985-06-15,Nam,078663690521,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,475e9e4c-4c83-4ef4-9d71-858b2b04dc19
55086c43-020e-42e8-aa9a-0b3f0f266ffa,Lê Phương Hà,ha.le5410@gmail.com,0926938145,2002-02-22,Nu,035392542210,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,13853bf1-f776-4309-9bf5-a8c1162b59bd,d69ba734-c3f9-4813-be9f-d1d83d7ec45c
55c8b2d8-9031-4b83-871f-ca5e4ffe23c5,Dương Ngọc Mai,mai.duong3345@gmail.com,0972600650,1996-10-16,Nu,073116086588,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,1b611a6a-c9e1-438b-be51-01358f202b2f,982c92d0-7f3f-4d5c-9af6-69ff021c5347
57d6dc8f-a4a5-45f3-a7e6-217610f7dbe3,Nguyễn Thị Tuấn,tuan.nguyen8026@gmail.com,0985963602,1985-06-15,Nu,071549446859,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,180c5646-2a62-489d-8685-a93a8c7201e6
598bb9cf-b248-42f0-a241-1d7ee94c7c9f,Hoàng Đức Bình,binh.hoang8466@gmail.com,0950885212,1985-06-15,Nam,097186202064,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,e4ced7d0-0311-4160-865b-131feaf86078
599831b2-e62a-45f4-bdea-d5801eb6351b,Hồ Minh Khang,khang.ho1614@gmail.com,0962076649,2000-01-28,Nam,036037735169,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,42617154-118b-4427-bbec-4ce3436c022a,b45bd7b0-c853-42b4-8df6-678e74dcdabf
5b3969c7-9244-44fa-9137-e3d79eacbdc0,Hoàng Thị Linh,linh.hoang9443@gmail.com,0965441989,1985-06-15,Nam,059635992065,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,f54ec690-4139-4559-aaf7-e5b447e67f66
5d930700-432b-4e62-8b06-dddf15da14c3,Bùi Thị An,an.bui4913@gmail.com,0966231462,1985-06-15,Nam,050406467275,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,bb105ef3-f758-42a1-9186-8c84e2848654
5ee9fd73-be7e-40fc-8913-0c67cf709926,Phạm Quang Tuấn,tuan.pham3307@gmail.com,0900466911,1985-06-15,Nu,081303068262,Nguoi dai dien,Dang hoat dong,2026-08-26 16:58:24+00,,830cc29b-7004-4234-8cde-f3d5b7f782f7
632d9da9-e8d5-4d9e-ab9c-3f0f57f533ab,Đỗ Văn Dũng,dung.do5091@gmail.com,0982603168,2001-01-24,Nam,096765355194,Nhan vien ban hang,Dang hoat dong,2026-08-25 21:33:23+00,aee99873-c94d-45c1-a952-0b038e24d5d6,b45bd7b0-c853-42b4-8df6-678e74dcdabf
636cc116-06fc-46ce-aa3b-af835f0b9542,Nguyễn Kim Ánh,ngkim205@gmail.com,0293939393,2005-08-06,Nu,,Khach hang,Dang hoat dong,2026-08-26 07:02:04.501443+00,,
